category,tag,domain,source,environment,scenario,file
mass/thin,light,organic,claws,attic,the light scratch of a mouses claws,light/light_organic_0063.mp3
mass/thin,light,organic,throat,study,a light clearing of the throat,light/light_organic_0064.mp3
mass/thin,light,organic,stomach,library,a light rumble of a stomach,light/light_organic_0065.mp3
mass/thin,light,organic,leaves,garden,a light rustle of autumn leaves,light/light_organic_0066.mp3
mass/thin,light,organic,fruit,kitchen,the light snap of a grape being bitten,light/light_organic_0067.mp3
mass/thin,light,organic,eggshell,bowl,the light crack of a small egg,light/light_organic_0068.mp3
mass/thin,light,domestic,paper,office,the light rustle of a sheet of paper,light/light_domestic_0069.mp3
mass/thin,light,domestic,silk,bedroom,the light slide of silk fabric,light/light_domestic_0070.mp3
mass/thin,light,domestic,bubble,bathroom,the light pop of a soap bubble,light/light_domestic_0071.mp3
mass/thin,light,domestic,plastic,kitchen,the light rustle of a plastic wrap,light/light_domestic_0072.mp3
mass/thin,light,domestic,curtain,living room,the light slide of a lace curtain,light/light_domestic_0073.mp3
mass/thin,light,domestic,spoon,dining room,the light clink of a spoon on a saucer,light/light_domestic_0074.mp3
mass/thin,light,domestic,cup,pantry,the light tap of a plastic cup on a shelf,light/light_domestic_0075.mp3
mass/thin,light,domestic,needle,sewing room,the light drop of a needle on a floor,light/light_domestic_0076.mp3
mass/thin,light,domestic,thread,closet,the light snap of a piece of thread,light/light_domestic_0077.mp3
mass/thin,light,domestic,bulb,attic,the light tinkling of a filament,light/light_domestic_0078.mp3
mass/thin,light,domestic,faucet,bathroom,the light drip of a faucet,light/light_domestic_0079.mp3
mass/thin,light,domestic,comb,bedroom,the light sound of a comb on hair,light/light_domestic_0080.mp3
mass/thin,light,domestic,pin,sewing box,the light rattle of pins in a box,light/light_domestic_0081.mp3
mass/thin,light,domestic,mirror,dressing room,the light wipe of a cloth on glass,light/light_domestic_0082.mp3
mass/thin,light,domestic,zipper,closet,the light pull of a small zipper,light/light_domestic_0083.mp3
mass/thin,light,domestic,remote,living room,the light click of a remote button,light/light_domestic_0084.mp3
mass/thin,light,domestic,beads,room,the light jingle of a plastic bead necklace,light/light_domestic_0085.mp3
mass/thin,light,electronic,static,radio,the light crackle of static on a radio,light/light_electronic_0086.mp3
mass/thin,light,electronic,synthesizer,studio,a light electronic bleep,light/light_electronic_0087.mp3
mass/thin,light,electronic,led,hallway,the light buzz of an led bulb,light/light_electronic_0088.mp3
mass/thin,light,electronic,modem,basement,the light digital chirp of a modem,light/light_electronic_0089.mp3
mass/thin,light,electronic,earphones,bus,the light sound of music from earphones,light/light_electronic_0090.mp3
mass/thin,light,electronic,taser,security,a light electrical spark,light/light_electronic_0091.mp3
mass/thin,light,electronic,buzzer,toy,a light electronic buzzer,light/light_electronic_0092.mp3
mass/thin,light,electronic,relay,factory,a light click of an electronic relay,light/light_electronic_0093.mp3
mass/thin,light,electronic,monitor,office,the light hum of a monitor,light/light_electronic_0094.mp3
mass/thin,light,electronic,computer,room,the light whir of a computer fan,light/light_electronic_0095.mp3
mass/thin,light,electronic,phone,purse,the light vibration of a phone,light/light_electronic_0096.mp3
mass/thin,light,electronic,clock,bedroom,the light beep of a digital clock,light/light_electronic_0097.mp3
mass/thin,light,electronic,flash,studio,a light flash recycle sound,light/light_electronic_0098.mp3
mass/thin,light,electronic,sensor,warehouse,a light chirp of a sensor,light/light_electronic_0099.mp3
mass/thin,light,electronic,battery,garage,the light whine of a dying battery,light/light_electronic_0100.mp3
mass/thin,light,electronic,oscillator,lab,a light high-frequency tone,light/light_electronic_0101.mp3
mass/thin,light,electronic,charger,bedroom,the light hum of a charger,light/light_electronic_0102.mp3
mass/thin,compact,musical,music box,parlor,a small music box playing in a wooden cabinet,compact/compact_musical_0000.mp3
mass/thin,compact,musical,pocket synth,bedroom,a tiny electronic synthesizer playing a melody,compact/compact_musical_0001.mp3
mass/thin,compact,musical,metronome,studio,a small mechanical metronome ticking,compact/compact_musical_0002.mp3
mass/thin,compact,musical,tin whistle,pub,a short tin whistle playing a fast tune,compact/compact_musical_0003.mp3
mass/thin,compact,musical,kalimba,garden,a small thumb piano being played,compact/compact_musical_0004.mp3
mass/thin,compact,musical,tambourine,stage,a small plastic tambourine being tapped,compact/compact_musical_0005.mp3
mass/thin,compact,musical,triangle,theatre,a small metal triangle being struck,compact/compact_musical_0006.mp3
mass/thin,compact,musical,recorder,classroom,a small plastic recorder being blown,compact/compact_musical_0007.mp3
mass/thin,compact,musical,harmonica,street,a small harmonica playing a high note,compact/compact_musical_0008.mp3
mass/thin,compact,musical,bell,church,a small handbell being rung,compact/compact_musical_0009.mp3
mass/thin,compact,musical,drum,gym,a small snare drum being struck,compact/compact_musical_0010.mp3
mass/thin,compact,musical,flute,meadow,a small bamboo flute playing,compact/compact_musical_0011.mp3
mass/thin,compact,musical,harp,room,a small lap harp being plucked,compact/compact_musical_0012.mp3
mass/thin,compact,musical,piano,nursery,a small toy piano being played,compact/compact_musical_0013.mp3
mass/thin,compact,musical,guitar,cabin,a small travel guitar being strummed,compact/compact_musical_0014.mp3
mass/thin,compact,musical,shaker,beach,a small bead shaker being moved,compact/compact_musical_0015.mp3
mass/thin,compact,musical,chimes,patio,small metal chimes clinking,compact/compact_musical_0016.mp3
mass/thin,compact,mechanical,watch,workshop,the compact ticking of a mechanical watch,compact/compact_mechanical_0017.mp3
mass/thin,compact,mechanical,camera,studio,the compact click of a camera shutter,compact/compact_mechanical_0018.mp3
mass/thin,compact,mechanical,lock,vault,the compact click of a safe tumbler,compact/compact_mechanical_0019.mp3
mass/thin,compact,mechanical,gear,lab,small brass gears meshing in a device,compact/compact_mechanical_0020.mp3
mass/thin,compact,mechanical,pen,office,clicking a compact ballpoint pen,compact/compact_mechanical_0021.mp3
mass/thin,compact,mechanical,fan,bedroom,a compact desk fan spinning,compact/compact_mechanical_0022.mp3
mass/thin,compact,mechanical,zipper,closet,a compact metal zipper being closed,compact/compact_mechanical_0023.mp3
mass/thin,compact,mechanical,stapler,desk,a compact stapler being used,compact/compact_mechanical_0024.mp3
mass/thin,compact,mechanical,printer,office,a compact laser printer working,compact/compact_mechanical_0025.mp3
mass/thin,compact,mechanical,mouse,study,the compact click of a mouse,compact/compact_mechanical_0026.mp3
mass/thin,compact,mechanical,keyboard,library,typing on a compact keyboard,compact/compact_mechanical_0027.mp3
mass/thin,compact,mechanical,clock,bedroom,the compact tick of a travel clock,compact/compact_mechanical_0028.mp3
mass/thin,compact,mechanical,lathe,shop,a compact lathe turning metal,compact/compact_mechanical_0029.mp3
mass/thin,compact,mechanical,drill,garage,a compact electric drill whirring,compact/compact_mechanical_0030.mp3
mass/thin,compact,mechanical,switch,hallway,the compact click of a switch,compact/compact_mechanical_0031.mp3
mass/thin,compact,mechanical,button,elevator,the compact press of a button,compact/compact_mechanical_0032.mp3
mass/thin,compact,mechanical,spring,toy,the compact bounce of a small spring,compact/compact_mechanical_0033.mp3
mass/thin,compact,mechanical,wheel,warehouse,the compact roll of a small caster,compact/compact_mechanical_0034.mp3
mass/thin,compact,environmental,twig,forest,a compact snap of a dry twig,compact/compact_environmental_0035.mp3
mass/thin,compact,environmental,pebble,beach,a compact clink of two pebbles,compact/compact_environmental_0036.mp3
mass/thin,compact,environmental,ice,lake,a compact crack in thin ice,compact/compact_environmental_0037.mp3
mass/thin,compact,environmental,hail,car roof,compact hail hitting a metal roof,compact/compact_environmental_0038.mp3
mass/thin,compact,environmental,rain,window,compact rain tapping on glass,compact/compact_environmental_0039.mp3
mass/thin,compact,environmental,wind,canyon,wind through a compact rock gap,compact/compact_environmental_0040.mp3
mass/thin,compact,environmental,mist,fjord,the compact hiss of mist on a rock,compact/compact_environmental_0041.mp3
mass/thin,compact,environmental,bubble,swamp,a compact bubble popping,compact/compact_environmental_0042.mp3
mass/thin,compact,environmental,thaw,forest,a compact drip of water,compact/compact_environmental_0043.mp3
mass/thin,compact,environmental,echo,valley,a compact whistle echoing,compact/compact_environmental_0044.mp3
mass/thin,compact,environmental,grass,field,a compact rustle of grass,compact/compact_environmental_0045.mp3
mass/thin,compact,environmental,fire,campsite,a compact crackle in a fire,compact/compact_environmental_0046.mp3
mass/thin,compact,environmental,lightning,plains,a compact static snap,compact/compact_environmental_0047.mp3
mass/thin,compact,environmental,sand,desert,compact sand hitting a metal sign,compact/compact_environmental_0048.mp3
mass/thin,compact,environmental,water,stream,a compact splash in a creek,compact/compact_environmental_0049.mp3
mass/thin,compact,environmental,dust,attic,a compact puff of dust,compact/compact_environmental_0050.mp3
mass/thin,compact,environmental,frost,morning,a compact crackle of frost,compact/compact_environmental_0051.mp3
mass/thin,compact,organic,insect,meadow,the compact buzz of a beetle,compact/compact_organic_0052.mp3
mass/thin,compact,organic,ant,patio,the compact scratch of an ant,compact/compact_organic_0053.mp3
mass/thin,compact,organic,hair,bedroom,the compact snip of hair,compact/compact_organic_0054.mp3
mass/thin,compact,organic,skin,spa,a compact tap of a finger,compact/compact_organic_0055.mp3
mass/thin,compact,organic,voice,nursery,a compact whisper,compact/compact_organic_0056.mp3
mass/thin,compact,organic,breath,tent,a compact exhale,compact/compact_organic_0057.mp3
mass/thin,compact,organic,heartbeat,room,a compact heartbeat thud,compact/compact_organic_0058.mp3
mass/thin,compact,organic,feet,hallway,compact footsteps on wood,compact/compact_organic_0059.mp3
mass/thin,compact,organic,nails,table,a compact tap of a nail,compact/compact_organic_0060.mp3
mass/thin,compact,organic,wings,woods,the compact flap of a bird,compact/compact_organic_0061.mp3
mass/thin,compact,organic,bones,museum,the compact click of a bone,compact/compact_organic_0062.mp3
mass/thin,compact,organic,claws,attic,the compact scratch of a claw,compact/compact_organic_0063.mp3
mass/thin,compact,organic,throat,study,a compact clearing of the throat,compact/compact_organic_0064.mp3
mass/thin,compact,organic,stomach,library,a compact stomach rumble,compact/compact_organic_0065.mp3
mass/thin,compact,organic,leaves,garden,a compact rustle of leaves,compact/compact_organic_0066.mp3
mass/thin,compact,organic,fruit,kitchen,a compact snap of a fruit,compact/compact_organic_0067.mp3
mass/thin,compact,organic,eggshell,bowl,a compact crack of an egg,compact/compact_organic_0068.mp3
mass/thin,compact,domestic,jewelry box,bedroom,closing a compact jewelry box,compact/compact_domestic_0069.mp3
mass/thin,compact,domestic,pill bottle,pantry,shaking a compact pill bottle,compact/compact_domestic_0070.mp3
mass/thin,compact,domestic,keys,foyer,a compact jingle of keys,compact/compact_domestic_0071.mp3
mass/thin,compact,domestic,lighter,porch,the compact click of a lighter,compact/compact_domestic_0072.mp3
mass/thin,compact,domestic,remote,living room,the compact click of a remote,compact/compact_domestic_0073.mp3
mass/thin,compact,domestic,wallet,hallway,the compact snap of a wallet,compact/compact_domestic_0074.mp3
mass/thin,compact,domestic,watch,bedroom,the compact tick of a watch,compact/compact_domestic_0075.mp3
mass/thin,compact,domestic,phone,office,the compact buzz of a phone,compact/compact_domestic_0076.mp3
mass/thin,compact,domestic,drawer,kitchen,the compact slide of a drawer,compact/compact_domestic_0077.mp3
mass/thin,compact,domestic,cabinet,bathroom,the compact click of a cabinet,compact/compact_domestic_0078.mp3
mass/thin,compact,domestic,bottle,pantry,the compact clink of a small bottle,compact/compact_domestic_0079.mp3
mass/thin,compact,domestic,spoon,dining room,the compact tap of a spoon,compact/compact_domestic_0080.mp3
mass/thin,compact,domestic,needle,sewing room,the compact drop of a needle,compact/compact_domestic_0081.mp3
mass/thin,compact,domestic,thread,closet,the compact snap of thread,compact/compact_domestic_0082.mp3
mass/thin,compact,domestic,comb,bedroom,the compact sound of a comb,compact/compact_domestic_0083.mp3
mass/thin,compact,domestic,pin,sewing box,the compact rattle of pins,compact/compact_domestic_0084.mp3
mass/thin,compact,domestic,zipper,closet,the compact pull of a zipper,compact/compact_domestic_0085.mp3
mass/thin,compact,electronic,relay,factory,the compact click of a relay,compact/compact_electronic_0086.mp3
mass/thin,compact,electronic,buzzer,toy,the compact buzz of a buzzer,compact/compact_electronic_0087.mp3
mass/thin,compact,electronic,taser,security,the compact spark of a taser,compact/compact_electronic_0088.mp3
mass/thin,compact,electronic,led,hallway,the compact hum of an led,compact/compact_electronic_0089.mp3
mass/thin,compact,electronic,modem,basement,the compact chirp of a modem,compact/compact_electronic_0090.mp3
